Block Name,Row ID,avg(alphat),avg(DR),avg(epsilon),avg(k),avg(nut),avg(p),avg(p_rgh),avg(PMV),avg(PPD),avg(qr),avg(T),avg(Top),avg(U (0)),avg(U (1)),avg(U (2)),avg(U (Magnitude)),avg(wallHeatFlux),avg(X),avg(Y),avg(Z),max(alphat),max(DR),max(epsilon),max(k),max(nut),max(p),max(p_rgh),max(PMV),max(PPD),max(qr),max(T),max(Top),max(U (0)),max(U (1)),max(U (2)),max(U (Magnitude)),max(wallHeatFlux),max(X),max(Y),max(Z),med(alphat),med(DR),med(epsilon),med(k),med(nut),med(p),med(p_rgh),med(PMV),med(PPD),med(qr),med(T),med(Top),med(U (0)),med(U (1)),med(U (2)),med(U (Magnitude)),med(wallHeatFlux),med(X),med(Y),med(Z),min(alphat),min(DR),min(epsilon),min(k),min(nut),min(p),min(p_rgh),min(PMV),min(PPD),min(qr),min(T),min(Top),min(U (0)),min(U (1)),min(U (2)),min(U (Magnitude)),min(wallHeatFlux),min(X),min(Y),min(Z),N,q1(alphat),q1(DR),q1(epsilon),q1(k),q1(nut),q1(p),q1(p_rgh),q1(PMV),q1(PPD),q1(qr),q1(T),q1(Top),q1(U (0)),q1(U (1)),q1(U (2)),q1(U (Magnitude)),q1(wallHeatFlux),q1(X),q1(Y),q1(Z),q3(alphat),q3(DR),q3(epsilon),q3(k),q3(nut),q3(p),q3(p_rgh),q3(PMV),q3(PPD),q3(qr),q3(T),q3(Top),q3(U (0)),q3(U (1)),q3(U (2)),q3(U (Magnitude)),q3(wallHeatFlux),q3(X),q3(Y),q3(Z),std(alphat),std(DR),std(epsilon),std(k),std(nut),std(p),std(p_rgh),std(PMV),std(PPD),std(qr),std(T),std(Top),std(U (0)),std(U (1)),std(U (2)),std(U (Magnitude)),std(wallHeatFlux),std(X),std(Y),std(Z),sum(alphat),sum(DR),sum(epsilon),sum(k),sum(nut),sum(p),sum(p_rgh),sum(PMV),sum(PPD),sum(qr),sum(T),sum(Top),sum(U (0)),sum(U (1)),sum(U (2)),sum(U (Magnitude)),sum(wallHeatFlux),sum(X),sum(Y),sum(Z),Time,vtkValidPointMask
stats,0,4.35074,0.00330882,0.96425,4.99615,3.66932,7.79362e+06,7.79477e+06,-98.4933,3020.28,-1.11431,22847.5,22884,-0.000400885,0.000245875,5.69642e-06,0.000470314,8.77942,-2.83617e-08,-0.00171766,1.30055,4.35074,0.00330882,0.96425,4.99615,3.66932,7.79362e+06,7.79477e+06,-98.4933,3020.28,-1.11431,22847.5,22884,-0.000400885,0.000245875,5.69642e-06,0.000470314,8.77942,-2.83617e-08,-0.00171766,1.30055,4.35074,0.00330882,0.96425,4.99615,3.66932,7.79362e+06,7.79477e+06,-98.4933,3020.28,-1.11431,22847.5,22884,-0.000400885,0.000245875,5.69642e-06,0.000470314,8.77942,-2.83617e-08,-0.00171766,1.30055,4.35074,0.00330882,0.96425,4.99615,3.66932,7.79362e+06,7.79477e+06,-98.4933,3020.28,-1.11431,22847.5,22884,-0.000400885,0.000245875,5.69642e-06,0.000470314,8.77942,-2.83617e-08,-0.00171766,1.30055,1,4.35074,0.00330882,0.96425,4.99615,3.66932,7.79362e+06,7.79477e+06,-98.4933,3020.28,-1.11431,22847.5,22884,-0.000400885,0.000245875,5.69642e-06,0.000470314,8.77942,-2.83617e-08,-0.00171766,1.30055,4.35074,0.00330882,0.96425,4.99615,3.66932,7.79362e+06,7.79477e+06,-98.4933,3020.28,-1.11431,22847.5,22884,-0.000400885,0.000245875,5.69642e-06,0.000470314,8.77942,-2.83617e-08,-0.00171766,1.30055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35074,0.00330882,0.96425,4.99615,3.66932,7.79362e+06,7.79477e+06,-98.4933,3020.28,-1.11431,22847.5,22884,-0.000400885,0.000245875,5.69642e-06,0.000470314,8.77942,-2.83617e-08,-0.00171766,1.30055,100,1
stats,1,3.505,0.510313,0.496894,3.259,2.95618,7.79266e+06,7.79384e+06,-101.563,3179.29,-0.932868,22844.5,22872.8,-0.000207537,5.24327e-05,0.00363875,0.00364504,7.44475,-2.83617e-08,-0.00171766,1.30055,3.505,0.510313,0.496894,3.259,2.95618,7.79266e+06,7.79384e+06,-101.563,3179.29,-0.932868,22844.5,22872.8,-0.000207537,5.24327e-05,0.00363875,0.00364504,7.44475,-2.83617e-08,-0.00171766,1.30055,3.505,0.510313,0.496894,3.259,2.95618,7.79266e+06,7.79384e+06,-101.563,3179.29,-0.932868,22844.5,22872.8,-0.000207537,5.24327e-05,0.00363875,0.00364504,7.44475,-2.83617e-08,-0.00171766,1.30055,3.505,0.510313,0.496894,3.259,2.95618,7.79266e+06,7.79384e+06,-101.563,3179.29,-0.932868,22844.5,22872.8,-0.000207537,5.24327e-05,0.00363875,0.00364504,7.44475,-2.83617e-08,-0.00171766,1.30055,1,3.505,0.510313,0.496894,3.259,2.95618,7.79266e+06,7.79384e+06,-101.563,3179.29,-0.932868,22844.5,22872.8,-0.000207537,5.24327e-05,0.00363875,0.00364504,7.44475,-2.83617e-08,-0.00171766,1.30055,3.505,0.510313,0.496894,3.259,2.95618,7.79266e+06,7.79384e+06,-101.563,3179.29,-0.932868,22844.5,22872.8,-0.000207537,5.24327e-05,0.00363875,0.00364504,7.44475,-2.83617e-08,-0.00171766,1.30055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.505,0.510313,0.496894,3.259,2.95618,7.79266e+06,7.79384e+06,-101.563,3179.29,-0.932868,22844.5,22872.8,-0.000207537,5.24327e-05,0.00363875,0.00364504,7.44475,-2.83617e-08,-0.00171766,1.30055,200,1
stats,2,2.93658,2.67781,0.320759,2.29386,2.4769,7.79151e+06,7.79269e+06,-104.078,3309.55,-0.78571,22841.1,22863.9,-0.000394104,0.000195923,0.0069934,0.00700724,7.00094,-2.83617e-08,-0.00171766,1.30055,2.93658,2.67781,0.320759,2.29386,2.4769,7.79151e+06,7.79269e+06,-104.078,3309.55,-0.78571,22841.1,22863.9,-0.000394104,0.000195923,0.0069934,0.00700724,7.00094,-2.83617e-08,-0.00171766,1.30055,2.93658,2.67781,0.320759,2.29386,2.4769,7.79151e+06,7.79269e+06,-104.078,3309.55,-0.78571,22841.1,22863.9,-0.000394104,0.000195923,0.0069934,0.00700724,7.00094,-2.83617e-08,-0.00171766,1.30055,2.93658,2.67781,0.320759,2.29386,2.4769,7.79151e+06,7.79269e+06,-104.078,3309.55,-0.78571,22841.1,22863.9,-0.000394104,0.000195923,0.0069934,0.00700724,7.00094,-2.83617e-08,-0.00171766,1.30055,1,2.93658,2.67781,0.320759,2.29386,2.4769,7.79151e+06,7.79269e+06,-104.078,3309.55,-0.78571,22841.1,22863.9,-0.000394104,0.000195923,0.0069934,0.00700724,7.00094,-2.83617e-08,-0.00171766,1.30055,2.93658,2.67781,0.320759,2.29386,2.4769,7.79151e+06,7.79269e+06,-104.078,3309.55,-0.78571,22841.1,22863.9,-0.000394104,0.000195923,0.0069934,0.00700724,7.00094,-2.83617e-08,-0.00171766,1.30055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93658,2.67781,0.320759,2.29386,2.4769,7.79151e+06,7.79269e+06,-104.078,3309.55,-0.78571,22841.1,22863.9,-0.000394104,0.000195923,0.0069934,0.00700724,7.00094,-2.83617e-08,-0.00171766,1.30055,300,1
stats,3,2.45223,8.04076,0.236475,1.69274,2.06847,7.79032e+06,7.79149e+06,-106.194,3420.2,-0.691933,22837.5,22856.6,-0.000724274,0.000392449,0.00997417,0.0100081,6.71577,-2.83617e-08,-0.00171766,1.30055,2.45223,8.04076,0.236475,1.69274,2.06847,7.79032e+06,7.79149e+06,-106.194,3420.2,-0.691933,22837.5,22856.6,-0.000724274,0.000392449,0.00997417,0.0100081,6.71577,-2.83617e-08,-0.00171766,1.30055,2.45223,8.04076,0.236475,1.69274,2.06847,7.79032e+06,7.79149e+06,-106.194,3420.2,-0.691933,22837.5,22856.6,-0.000724274,0.000392449,0.00997417,0.0100081,6.71577,-2.83617e-08,-0.00171766,1.30055,2.45223,8.04076,0.236475,1.69274,2.06847,7.79032e+06,7.79149e+06,-106.194,3420.2,-0.691933,22837.5,22856.6,-0.000724274,0.000392449,0.00997417,0.0100081,6.71577,-2.83617e-08,-0.00171766,1.30055,1,2.45223,8.04076,0.236475,1.69274,2.06847,7.79032e+06,7.79149e+06,-106.194,3420.2,-0.691933,22837.5,22856.6,-0.000724274,0.000392449,0.00997417,0.0100081,6.71577,-2.83617e-08,-0.00171766,1.30055,2.45223,8.04076,0.236475,1.69274,2.06847,7.79032e+06,7.79149e+06,-106.194,3420.2,-0.691933,22837.5,22856.6,-0.000724274,0.000392449,0.00997417,0.0100081,6.71577,-2.83617e-08,-0.00171766,1.30055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45223,8.04076,0.236475,1.69274,2.06847,7.79032e+06,7.79149e+06,-106.194,3420.2,-0.691933,22837.5,22856.6,-0.000724274,0.000392449,0.00997417,0.0100081,6.71577,-2.83617e-08,-0.00171766,1.30055,400,1
stats,4,2.03155,17.5846,0.188381,1.28611,1.7137,7.78909e+06,7.79027e+06,-108.084,3519.83,-0.647819,22833.8,22850.1,-0.0013322,0.00053302,0.0129126,0.0129921,6.48404,-2.83617e-08,-0.00171766,1.30055,2.03155,17.5846,0.188381,1.28611,1.7137,7.78909e+06,7.79027e+06,-108.084,3519.83,-0.647819,22833.8,22850.1,-0.0013322,0.00053302,0.0129126,0.0129921,6.48404,-2.83617e-08,-0.00171766,1.30055,2.03155,17.5846,0.188381,1.28611,1.7137,7.78909e+06,7.79027e+06,-108.084,3519.83,-0.647819,22833.8,22850.1,-0.0013322,0.00053302,0.0129126,0.0129921,6.48404,-2.83617e-08,-0.00171766,1.30055,2.03155,17.5846,0.188381,1.28611,1.7137,7.78909e+06,7.79027e+06,-108.084,3519.83,-0.647819,22833.8,22850.1,-0.0013322,0.00053302,0.0129126,0.0129921,6.48404,-2.83617e-08,-0.00171766,1.30055,1,2.03155,17.5846,0.188381,1.28611,1.7137,7.78909e+06,7.79027e+06,-108.084,3519.83,-0.647819,22833.8,22850.1,-0.0013322,0.00053302,0.0129126,0.0129921,6.48404,-2.83617e-08,-0.00171766,1.30055,2.03155,17.5846,0.188381,1.28611,1.7137,7.78909e+06,7.79027e+06,-108.084,3519.83,-0.647819,22833.8,22850.1,-0.0013322,0.00053302,0.0129126,0.0129921,6.48404,-2.83617e-08,-0.00171766,1.30055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03155,17.5846,0.188381,1.28611,1.7137,7.78909e+06,7.79027e+06,-108.084,3519.83,-0.647819,22833.8,22850.1,-0.0013322,0.00053302,0.0129126,0.0129921,6.48404,-2.83617e-08,-0.00171766,1.30055,500,1
stats,5,1.67127,30.324,0.156876,0.995818,1.40983,7.78781e+06,7.78899e+06,-109.884,3615.4,-0.643407,22830.1,22844,-0.00201625,0.000465471,0.0154795,0.0156172,6.28557,-2.83617e-08,-0.00171766,1.30055,1.67127,30.324,0.156876,0.995818,1.40983,7.78781e+06,7.78899e+06,-109.884,3615.4,-0.643407,22830.1,22844,-0.00201625,0.000465471,0.0154795,0.0156172,6.28557,-2.83617e-08,-0.00171766,1.30055,1.67127,30.324,0.156876,0.995818,1.40983,7.78781e+06,7.78899e+06,-109.884,3615.4,-0.643407,22830.1,22844,-0.00201625,0.000465471,0.0154795,0.0156172,6.28557,-2.83617e-08,-0.00171766,1.30055,1.67127,30.324,0.156876,0.995818,1.40983,7.78781e+06,7.78899e+06,-109.884,3615.4,-0.643407,22830.1,22844,-0.00201625,0.000465471,0.0154795,0.0156172,6.28557,-2.83617e-08,-0.00171766,1.30055,1,1.67127,30.324,0.156876,0.995818,1.40983,7.78781e+06,7.78899e+06,-109.884,3615.4,-0.643407,22830.1,22844,-0.00201625,0.000465471,0.0154795,0.0156172,6.28557,-2.83617e-08,-0.00171766,1.30055,1.67127,30.324,0.156876,0.995818,1.40983,7.78781e+06,7.78899e+06,-109.884,3615.4,-0.643407,22830.1,22844,-0.00201625,0.000465471,0.0154795,0.0156172,6.28557,-2.83617e-08,-0.00171766,1.30055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67127,30.324,0.156876,0.995818,1.40983,7.78781e+06,7.78899e+06,-109.884,3615.4,-0.643407,22830.1,22844,-0.00201625,0.000465471,0.0154795,0.0156172,6.28557,-2.83617e-08,-0.00171766,1.30055,600,1
stats,6,1.36887,43.1726,0.13383,0.781552,1.15476,7.78645e+06,7.78763e+06,-111.695,3712.12,-0.657604,22826.1,22837.9,-0.00258172,0.000576964,0.017723,0.0179193,6.10684,-2.83617e-08,-0.00171766,1.30055,1.36887,43.1726,0.13383,0.781552,1.15476,7.78645e+06,7.78763e+06,-111.695,3712.12,-0.657604,22826.1,22837.9,-0.00258172,0.000576964,0.017723,0.0179193,6.10684,-2.83617e-08,-0.00171766,1.30055,1.36887,43.1726,0.13383,0.781552,1.15476,7.78645e+06,7.78763e+06,-111.695,3712.12,-0.657604,22826.1,22837.9,-0.00258172,0.000576964,0.017723,0.0179193,6.10684,-2.83617e-08,-0.00171766,1.30055,1.36887,43.1726,0.13383,0.781552,1.15476,7.78645e+06,7.78763e+06,-111.695,3712.12,-0.657604,22826.1,22837.9,-0.00258172,0.000576964,0.017723,0.0179193,6.10684,-2.83617e-08,-0.00171766,1.30055,1,1.36887,43.1726,0.13383,0.781552,1.15476,7.78645e+06,7.78763e+06,-111.695,3712.12,-0.657604,22826.1,22837.9,-0.00258172,0.000576964,0.017723,0.0179193,6.10684,-2.83617e-08,-0.00171766,1.30055,1.36887,43.1726,0.13383,0.781552,1.15476,7.78645e+06,7.78763e+06,-111.695,3712.12,-0.657604,22826.1,22837.9,-0.00258172,0.000576964,0.017723,0.0179193,6.10684,-2.83617e-08,-0.00171766,1.30055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36887,43.1726,0.13383,0.781552,1.15476,7.78645e+06,7.78763e+06,-111.695,3712.12,-0.657604,22826.1,22837.9,-0.00258172,0.000576964,0.017723,0.0179193,6.10684,-2.83617e-08,-0.00171766,1.30055,700,1
stats,7,1.11912,53.3134,0.115652,0.620298,0.944112,7.78496e+06,7.78614e+06,-113.564,3812.57,-0.678452,22821.7,22831.7,-0.00340815,0.000336142,0.0193992,0.0196992,5.94641,-2.83617e-08,-0.00171766,1.30055,1.11912,53.3134,0.115652,0.620298,0.944112,7.78496e+06,7.78614e+06,-113.564,3812.57,-0.678452,22821.7,22831.7,-0.00340815,0.000336142,0.0193992,0.0196992,5.94641,-2.83617e-08,-0.00171766,1.30055,1.11912,53.3134,0.115652,0.620298,0.944112,7.78496e+06,7.78614e+06,-113.564,3812.57,-0.678452,22821.7,22831.7,-0.00340815,0.000336142,0.0193992,0.0196992,5.94641,-2.83617e-08,-0.00171766,1.30055,1.11912,53.3134,0.115652,0.620298,0.944112,7.78496e+06,7.78614e+06,-113.564,3812.57,-0.678452,22821.7,22831.7,-0.00340815,0.000336142,0.0193992,0.0196992,5.94641,-2.83617e-08,-0.00171766,1.30055,1,1.11912,53.3134,0.115652,0.620298,0.944112,7.78496e+06,7.78614e+06,-113.564,3812.57,-0.678452,22821.7,22831.7,-0.00340815,0.000336142,0.0193992,0.0196992,5.94641,-2.83617e-08,-0.00171766,1.30055,1.11912,53.3134,0.115652,0.620298,0.944112,7.78496e+06,7.78614e+06,-113.564,3812.57,-0.678452,22821.7,22831.7,-0.00340815,0.000336142,0.0193992,0.0196992,5.94641,-2.83617e-08,-0.00171766,1.30055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11912,53.3134,0.115652,0.620298,0.944112,7.78496e+06,7.78614e+06,-113.564,3812.57,-0.678452,22821.7,22831.7,-0.00340815,0.000336142,0.0193992,0.0196992,5.94641,-2.83617e-08,-0.00171766,1.30055,800,1
stats,8,0.914095,60.3729,0.100687,0.497099,0.771185,7.78341e+06,7.78459e+06,-115.44,3913.88,-0.703915,22817.2,22825.6,-0.00360559,0.000619281,0.0207043,0.0210251,5.80764,-2.83617e-08,-0.00171766,1.30055,0.914095,60.3729,0.100687,0.497099,0.771185,7.78341e+06,7.78459e+06,-115.44,3913.88,-0.703915,22817.2,22825.6,-0.00360559,0.000619281,0.0207043,0.0210251,5.80764,-2.83617e-08,-0.00171766,1.30055,0.914095,60.3729,0.100687,0.497099,0.771185,7.78341e+06,7.78459e+06,-115.44,3913.88,-0.703915,22817.2,22825.6,-0.00360559,0.000619281,0.0207043,0.0210251,5.80764,-2.83617e-08,-0.00171766,1.30055,0.914095,60.3729,0.100687,0.497099,0.771185,7.78341e+06,7.78459e+06,-115.44,3913.88,-0.703915,22817.2,22825.6,-0.00360559,0.000619281,0.0207043,0.0210251,5.80764,-2.83617e-08,-0.00171766,1.30055,1,0.914095,60.3729,0.100687,0.497099,0.771185,7.78341e+06,7.78459e+06,-115.44,3913.88,-0.703915,22817.2,22825.6,-0.00360559,0.000619281,0.0207043,0.0210251,5.80764,-2.83617e-08,-0.00171766,1.30055,0.914095,60.3729,0.100687,0.497099,0.771185,7.78341e+06,7.78459e+06,-115.44,3913.88,-0.703915,22817.2,22825.6,-0.00360559,0.000619281,0.0207043,0.0210251,5.80764,-2.83617e-08,-0.00171766,1.30055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.914095,60.3729,0.100687,0.497099,0.771185,7.78341e+06,7.78459e+06,-115.44,3913.88,-0.703915,22817.2,22825.6,-0.00360559,0.000619281,0.0207043,0.0210251,5.80764,-2.83617e-08,-0.00171766,1.30055,900,1
stats,9,0.743201,66.0554,0.0882711,0.401936,0.627053,7.78202e+06,7.7832e+06,-117.151,4006.6,-0.736562,22813.1,22819.9,-0.00293973,0.000318362,0.0216494,0.0218504,5.68996,-2.83617e-08,-0.00171766,1.30055,0.743201,66.0554,0.0882711,0.401936,0.627053,7.78202e+06,7.7832e+06,-117.151,4006.6,-0.736562,22813.1,22819.9,-0.00293973,0.000318362,0.0216494,0.0218504,5.68996,-2.83617e-08,-0.00171766,1.30055,0.743201,66.0554,0.0882711,0.401936,0.627053,7.78202e+06,7.7832e+06,-117.151,4006.6,-0.736562,22813.1,22819.9,-0.00293973,0.000318362,0.0216494,0.0218504,5.68996,-2.83617e-08,-0.00171766,1.30055,0.743201,66.0554,0.0882711,0.401936,0.627053,7.78202e+06,7.7832e+06,-117.151,4006.6,-0.736562,22813.1,22819.9,-0.00293973,0.000318362,0.0216494,0.0218504,5.68996,-2.83617e-08,-0.00171766,1.30055,1,0.743201,66.0554,0.0882711,0.401936,0.627053,7.78202e+06,7.7832e+06,-117.151,4006.6,-0.736562,22813.1,22819.9,-0.00293973,0.000318362,0.0216494,0.0218504,5.68996,-2.83617e-08,-0.00171766,1.30055,0.743201,66.0554,0.0882711,0.401936,0.627053,7.78202e+06,7.7832e+06,-117.151,4006.6,-0.736562,22813.1,22819.9,-0.00293973,0.000318362,0.0216494,0.0218504,5.68996,-2.83617e-08,-0.00171766,1.30055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.743201,66.0554,0.0882711,0.401936,0.627053,7.78202e+06,7.7832e+06,-117.151,4006.6,-0.736562,22813.1,22819.9,-0.00293973,0.000318362,0.0216494,0.0218504,5.68996,-2.83617e-08,-0.00171766,1.30055,1000,1
